Date,Product Category,Unit Cost,Unit Price,Quantity,Cost,Revenue,Profit
NaN,Bikes,"1,000.00",938,1,"1,000.00",0,-62
1/1/2015,Bikes,"2,182.00","2,352.00",1,"2,182.00","2,352.00",170
1/1/2015,Bikes,"1,035.50",896,2,"2,071.00","1,792.00",-279
1/1/2015,NaN,261,230.67,3,783,692,-91
1/1/2015,Bikes,261,233,3,783,699,-84
1/2/2015,Bikes,391.5,439,2,783,878,95
1/2/2015,NaN,"2,071.00","2,593.00",1,"2,071.00","2,593.00",0
1/2/2015,Bikes,783,821,1,783,821,38
1/3/2015,Bikes,391.5,349,2,783,698,-85
1/5/2015,Bikes,"1,091.00","1,032.50",2,"2,182.00","2,065.00",-117
1/7/2015,NaN,500,563.5,2,"1,000.00","1,127.00",127
1/7/2015,Bikes,"1,000.00",896,1,"1,000.00",896,-104
1/7/2015,Bikes,"2,071.00","1,945.00",1,"2,071.00","1,945.00",-126
1/7/2015,Bikes,261,241,3,0,723,-60
1/7/2015,Bikes,783,724,1,783,724,-59
1/8/2015,Bikes,"1,024.50","1,300.00",2,"2,049.00","2,600.00",551
1/8/2015,Bikes,"1,000.00",0,1,"1,000.00",931,-69
1/8/2015,Bikes,261,274,3,783,822,39
1/9/2015,Bikes,690.33,680.67,3,"2,071.00","2,042.00",-29
1/9/2015,Bikes,"2,071.00","2,172.00",1,"2,071.00","2,172.00",101
1/9/2015,Bikes,814.33,"1,037.67",3,"2,443.00","3,113.00",670
1/10/2015,Bikes,391.5,359.5,2,783,719,-64
1/10/2015,Bikes,"2,182.00","2,467.00",1,"2,182.00","2,467.00",285
1/11/2015,Bikes,683,638.67,3,"2,049.00","1,916.00",-133
1/12/2015,Bikes,683,662,3,"2,049.00","1,986.00",-63
1/12/2015,Bikes,"1,035.50",978,2,"2,071.00","1,956.00",-115
1/13/2015,ikes,683,623,3,"2,049.00","1,869.00",-180
1/14/2015,Bikes,"2,049.00","1,868.00",1,"2,049.00","1,868.00",-181
1/15/2015,Bikes,"1,035.50",0,2,"2,071.00","1,947.00",-124
1/15/2015,Bikes,261,228.67,3,783,686,-97
1/16/2015,Bikes,"1,035.50","1,131.00",2,"2,071.00","2,262.00",191
1/16/2015,Bikes,"1,024.50",951,2,"2,049.00","1,902.00",-147
1/16/2015,Bikes,727.33,581.33,3,"2,182.00","1,744.00",-438
1/16/2015,Bikes,"1,221.50","1,161.00",2,"2,443.00","2,322.00",-121
1/16/2015,Bikes,783,775,1,783,775,-8
1/17/2015,Bikes,261,252.67,3,783,758,-25
1/17/2015,Bikes,690.33,617.33,3,"2,071.00","1,852.00",-219
1/17/2015,Bikes,"1,024.50",815,2,"2,049.00","1,630.00",-419
1/18/2015,Bikes,814.33,"1,057.67",3,"2,443.00","3,173.00",730
1/20/2015,Bikes,"1,221.50","1,325.00",2,"2,443.00","2,650.00",207
1/20/2015,Bikes,"1,035.50",702.5,2,"2,071.00","1,405.00",-666
1/22/2015,Bikes,"2,182.00","2,327.00",1,"2,182.00","2,327.00",145
1/22/2015,Bikes,500,597.5,2,"1,000.00","1,195.00",195
1/23/2015,Bikes,333.33,241.67,3,"1,000.00",725,-275
1/23/2015,Bikes,"2,182.00","2,211.00",1,"2,182.00","2,211.00",29
1/23/2015,Bikes,"1,000.00","1,023.00",1,"1,000.00","1,023.00",23
1/24/2015,Bikes,"2,049.00","2,133.00",1,"2,049.00","2,133.00",84
1/24/2015,Bikes,690.33,740.67,3,"2,071.00","2,222.00",151
1/24/2015,Bikes,683,618.67,3,"2,049.00","1,856.00",-193
1/25/2015,Bikes,690.33,565,3,"2,071.00","1,695.00",-376
1/25/2015,Bikes,"2,443.00","2,229.00",1,"2,443.00","2,229.00",-214
1/26/2015,Bikes,"1,091.00","1,039.00",2,"2,182.00","2,078.00",-104
1/26/2015,Bikes,"2,049.00","1,969.00",1,"2,049.00","1,969.00",-80
1/28/2015,Bikes,"1,221.50","1,415.00",2,"2,443.00","2,830.00",387
1/28/2015,Bikes,"2,443.00","2,540.00",1,"2,443.00","2,540.00",97
1/30/2015,Bikes,261,259.33,3,783,778,-5
1/30/2015,Bikes,814.33,920.67,3,"2,443.00","2,762.00",319
1/31/2015,Bikes,"2,049.00","2,202.00",1,"2,049.00","2,202.00",153
1/31/2015,Bikes,683,622.67,3,"2,049.00","1,868.00",-181
1/31/2015,NaN,814.33,538,3,"2,443.00","1,614.00",-829
2/1/2015,Bikes,333.33,313,3,"1,000.00",939,-61
2/1/2015,Bikes,"1,221.50",989.5,2,"2,443.00","1,979.00",-464
2/2/2015,Bikes,"2,049.00","1,719.00",1,"2,049.00","1,719.00",-330
2/3/2015,Bikes,"1,024.50","1,178.50",2,"2,049.00","2,357.00",308
2/3/2015,Bikes,"2,071.00","2,257.00",1,"2,071.00","2,257.00",186
2/3/2015,Bikes,"1,000.00",948,1,"1,000.00",948,-52
2/4/2015,Bikes,783,923,1,783,923,140
2/4/2015,Bikes,"1,221.50","1,186.00",2,"2,443.00","2,372.00",-71
2/4/2015,Bikes,333.33,287.67,3,"1,000.00",863,-137
2/4/2015,Bikes,391.5,335.5,2,783,671,-112
2/5/2015,Bikes,"1,091.00",701,2,"2,182.00","1,402.00",-780
2/5/2015,Bikes,"1,035.50","1,043.00",2,"2,071.00","2,086.00",15
2/5/2015,Bikes,"2,049.00","1,813.00",1,"2,049.00","1,813.00",-236
2/5/2015,NaN,"1,024.50","1,055.50",2,"2,049.00","2,111.00",62
2/6/2015,Bikes,"1,024.50",840.5,2,"2,049.00","1,681.00",-368
