Product Category,Sub Category,Unit Cost,Unit Price
Bikes,Ro$ad Bikes,"1,000.00",938
Bikes,Road Bikes,"2,182.00","2,352.00"
Bikes,Mountain Bikes,"1,035.50",896
Bikes,Road Bikes,261,230.67
Bikes,Road Bikes,261,233
,Road Bikes,391.5,439
,Mountain Bikes,"2,071.00","2,593.00"
Bikes,Road Bikes,783,821
Bikes,Road Bikes,391.5,349
Bikes,Road Bikes,"1,091.00","1,032.50"
Bikes,Road Bikes,500,563.5
Bikes,Road Bikes,"1,000.00",896
Bikes,Mountain Bikes,"2,071.00","1,945.00"
Bikes,Road Bikes,261,241
Bikes,Road Bikes,783,724
Bikes,Mountain Bikes,"1,024.50","1,300.00"
Bikes,Road Bikes,"1,000.00",
Bikes,Road Bikes,261,274
Bikes,Mountain Bikes,690.33,680.67
Bikes,Mountain Bikes,"2,071.00","2,172.00"
Bikes,Road Bikes,814.33,"1,037.67"
Bikes,Road Bikes,391.5,359.5
Bikes,Road Bikes,"2,182.00","2,467.00"
Bikes,Mountain Bikes,683,638.67
Bikes,Mountain Bikes,683,662
Bikes,Mountain Bikes,"1,035.50",978
Bikes,Mountain Bikes,683,623
Bikes,Mountain Bikes,"2,049.00","1,868.00"
Bikes,Mountain Bikes,"1,035.50",
Bikes,Road Bikes,261,228.67
Bikes,Mountain Bikes,"1,035.50","1,131.00"
Bikes,Mountain Bikes,"1,024.50",951
,Road Bikes,727.33,581.33
Bikes,Road Bikes,"1,221.50","1,161.00"
Bikes,Road Bikes,783,775
Bikes,Road Bikes,261,252.67
Bikes,Mountain Bikes,690.33,617.33
Bikes,Mountain Bikes,"1,024.50",815
Bikes,Road Bikes,814.33,"1,057.67"
Bikes,Road Bikes,"1,221.50","1,325.00"
Bikes,Mountain Bikes,"1,035.50",702.5
Bikes,Road Bikes,"2,182.00","2,327.00"
Bikes,Road Bikes,500,597.5
Bikes,Road Bikes,333.33,241.67
Bikes,Road Bikes,"2,182.00","2,211.00"
Bikes,Road Bikes,"1,000.00","1,023.00"
Bikes,Mountain Bikes,"2,049.00","2,133.00"
Bikes,Mountain Bikes,690.33,740.67
Bikes,Mountain Bikes,683,618.67
Bikes,Mountain Bikes,690.33,565
Bikes,Road Bikes,"2,443.00","2,229.00"
Bikes,Road Bikes,"1,091.00","1,039.00"
Bikes,Mountain Bikes,"2,049.00","1,969.00"
Bikes,Road Bikes,"1,221.50","1,415.00"
Bikes,Road Bikes,"2,443.00","2,540.00"
Bikes,Road Bikes,261,259.33
Bikes,Road Bikes,814.33,920.67
Bikes,Mountain Bikes,"2,049.00","2,202.00"
Bikes,Mountain Bikes,683,622.67
Bikes,Road Bikes,814.33,538
Bikes,Road Bikes,333.33,313
Bikes,Road Bikes,"1,221.50",989.5
Bikes,Mountain Bikes,"2,049.00","1,719.00"
Bikes,Mountain Bikes,"1,024.50","1,178.50"
Bikes,Mountain Bikes,"2,071.00","2,257.00"
Bikes,Road Bikes,"1,000.00",948
,Road Bikes,783,923
Bikes,Road Bikes,"1,221.50","1,186.00"
Bikes,Road Bikes,333.33,287.67
Bikes,Road Bikes,391.5,335.5
Bikes,Road Bikes,"1,091.00",701
Bikes,Mountain Bikes,"1,035.50","1,043.00"
Bikes,Mountain Bikes,"2,049.00","1,813.00"
Bikes,Mountain Bikes,"1,024.50","1,055.50"
Bikes,Mountain Bikes,"1,024.50",840.5
Bikes,Mountain Bikes,690.33,806.67
Bikes,Road Bikes,"2,443.00",
Bikes,Road Bikes,783,682
Bikes,Road Bikes,"1,000.00",856
Bikes,Road Bikes,261,174.67
Bikes,Road Bikes,500,676.5
Bikes,Mountain Bikes,690.33,793.33
Bikes,Road Bikes,"1,221.50","1,318.50"
Bikes,Road Bikes,783,787
Bikes,Mountain Bikes,"2,049.00","1,227.00"
,Mountain Bikes,"2,071.00","2,188.00"
Bikes,Mountain Bikes,"1,024.50","1,049.00"
Bikes,Mountain Bikes,"1,024.50","1,018.00"
Bikes,Mountain Bikes,"2,071.00","1,958.00"
Bikes,Mountain Bikes,690.33,626.33
Bikes,Mountain Bikes,"2,049.00","2,317.00"
Bikes,Road Bikes,"1,221.50","1,414.00"
Bikes,Road Bikes,814.33,770.67
Bikes,Road Bikes,333.33,301
Bikes,Road Bikes,727.33,816.67
Bikes,Road Bikes,"1,091.00","1,225.00"
Bikes,Road Bikes,"2,182.00","1,850.00"
Bikes,Mountain Bikes,690.33,752.33
Bikes,Mountain Bikes,"1,024.50",885.5
Bikes,Mountain Bikes,"1,024.50",962.5
Bikes,Mountain Bikes,"2,049.00","2,360.00"
Bikes,Road Bikes,"2,182.00","2,210.00"
Bikes,Mountain Bikes,690.33,681
Bikes,Road Bikes,814.33,891.33
Bikes,Road Bikes,783,806
Bikes,Mountain Bikes,"1,024.50",887
Bikes,Mountain Bikes,"2,071.00","1,699.00"
Bikes,Road Bikes,"1,000.00",906
Bikes,Road Bikes,"1,091.00","1,343.50"
Bikes,Mountain Bikes,683,668.67
Bikes,Road Bikes,391.5,311.5
Bikes,Road Bikes,261,230.67
Bikes,Mountain Bikes,"1,024.50",915
Bikes,Mountain Bikes,"1,035.50","1,077.50"
Bikes,Road Bikes,391.5,360
Bikes,Road Bikes,261,307
Bikes,Mountain Bikes,"2,071.00","2,274.00"
Bikes,Mountain Bikes,"1,035.50","1,171.50"
Bikes,Mountain Bikes,683,809.67
Bikes,Road Bikes,333.33,302.33
Bikes,Road Bikes,814.33,959.67
Bikes,Road Bikes,333.33,329.67
Bikes,Road Bikes,"1,221.50","1,046.50"
,Road Bikes,391.5,383.5
Bikes,Road Bikes,391.5,442
Bikes,Road Bikes,261,216
Bikes,Road Bikes,261,243
Bikes,Road Bikes,783,713
Bikes,Mountain Bikes,"1,035.50",992.5
Bikes,Road Bikes,"2,182.00","2,009.00"
Bikes,Mountain Bikes,690.33,680
Bikes,Road Bikes,"2,443.00","2,312.00"
Bikes,Road Bikes,727.33,926.33
Bikes,Mountain Bikes,"2,071.00","2,351.00"
Bikes,Mountain Bikes,"2,049.00","2,086.00"
Bikes,Road Bikes,"2,443.00","2,499.00"
Bikes,Road Bikes,"1,000.00",932
Bikes,Road Bikes,391.5,379
Bikes,Road Bikes,500,461
Bikes,Mountain Bikes,"2,071.00","2,417.00"
Bikes,Road Bikes,391.5,352
Bikes,Road Bikes,"2,182.00","1,377.00"
Bikes,Mountain Bikes,"2,049.00","2,187.00"
Bikes,Mountain Bikes,"2,071.00","2,330.00"
Bikes,Road Bikes,261,271
Bikes,Mountain Bikes,690.33,588
Bikes,Road Bikes,391.5,432
Bikes,Mountain Bikes,683,734.33
Bikes,Road Bikes,"1,091.00","1,313.00"
Bikes,Mountain Bikes,"1,024.50",997.5
Bikes,Mountain Bikes,690.33,603.33
Bikes,Road Bikes,814.33,735.33
Bikes,Mountain Bikes,"2,049.00","1,583.00"
Bikes,Mountain Bikes,683,543.33
Bikes,Mountain Bikes,"1,035.50",974
Bikes,Road Bikes,727.33,572.67
Bikes,Mountain Bikes,"2,049.00","1,903.00"
Bikes,Road Bikes,500,441.5
Bikes,Mountain Bikes,"2,049.00","2,465.00"
Bikes,Road Bikes,"1,091.00","1,410.00"
Bikes,Road Bikes,"1,091.00",681.5
Bikes,Road Bikes,"2,443.00","1,914.00"
Bikes,Road Bikes,333.33,270
Bikes,Mountain Bikes,"1,035.50","1,134.50"
Bikes,Road Bikes,"2,182.00","2,053.00"
Bikes,Road Bikes,"1,091.00",949.5
Bikes,Road Bikes,"2,443.00","2,414.00"
Bikes,Mountain Bikes,690.33,669
Bikes,Mountain Bikes,"1,035.50",945
Bikes,Mountain Bikes,"2,049.00","1,307.00"
Bikes,Road Bikes,783,694
Bikes,Road Bikes,333.33,280
Bikes,Mountain Bikes,"2,049.00","1,487.00"
Bikes,Mountain Bikes,"2,071.00","2,481.00"
Bikes,Road Bikes,333.33,319.33
Bikes,Mountain Bikes,"2,049.00","2,271.00"
Bikes,Road Bikes,333.33,283.67
Bikes,Road Bikes,"1,091.00","1,066.50"
Bikes,Road Bikes,814.33,828.33
Bikes,Mountain Bikes,"1,024.50","1,070.50"
Bikes,Mountain Bikes,"1,024.50","1,265.50"
Bikes,Road Bikes,261,242
Bikes,Road Bikes,"1,091.00",827.5
Bikes,Road Bikes,814.33,585.67
Bikes,Mountain Bikes,"1,035.50",710
Bikes,Road Bikes,"2,182.00","2,613.00"
Bikes,Mountain Bikes,"2,071.00","1,865.00"
Bikes,Road Bikes,"2,443.00","2,492.00"
Bikes,Road Bikes,"2,182.00","2,932.00"
Bikes,Road Bikes,391.5,429
Bikes,Road Bikes,"1,091.00",793
Bikes,Mountain Bikes,"1,035.50","1,162.50"
Bikes,Road Bikes,"2,443.00","2,666.00"
Bikes,Mountain Bikes,683,602.67
Bikes,Road Bikes,727.33,649.33
Bikes,Mountain Bikes,683,560.67
Bikes,Road Bikes,"2,182.00","1,863.00"
Bikes,Road Bikes,"1,000.00",891
Bikes,Road Bikes,391.5,318
Bikes,Road Bikes,"1,000.00",864
Bikes,Road Bikes,727.33,565
Bikes,Road Bikes,"2,443.00","1,674.00"
Bikes,Mountain Bikes,"2,049.00","2,203.00"
Bikes,Mountain Bikes,683,560.67
Bikes,Road Bikes,"1,000.00",922
Bikes,Mountain Bikes,"1,035.50",981.5
Bikes,Mountain Bikes,"2,049.00","1,868.00"
Bikes,Road Bikes,783,760
Bikes,Road Bikes,"1,091.00","1,214.00"
Bikes,Mountain Bikes,683,707.67
Bikes,Mountain Bikes,"2,071.00","2,386.00"
Bikes,Road Bikes,"1,091.00",993.5
Bikes,Road Bikes,"1,091.00","1,069.00"
Bikes,Mountain Bikes,"2,071.00","2,430.00"
Bikes,Mountain Bikes,"2,049.00","2,267.00"
